model,case_size_mm,display_area_mm2,resolution_width_px,resolution_height_px,resolution_width_pt,resolution_height_pt,ppi,max_refresh_rate
Ultra 3,49,1245,422,514,211,257,326,60
Ultra 2,49,1185,410,502,205,251,338,60
Ultra,49,1185,410,502,205,251,338,60
Series 11,46,1220,416,496,208,248,326,60
Series 11,42,989,374,446,187,223,326,60
Series 10,46,1220,416,496,208,248,330,60
Series 10,42,989,374,446,187,223,330,60
Series 9,45,1143,396,484,198,242,326,60
Series 9,41,904,352,430,176,215,326,60
Series 8,45,1143,396,484,198,242,326,60
Series 8,41,904,352,430,176,215,326,60
Series 7,45,1143,396,484,198,242,326,60
Series 7,41,904,352,430,176,215,326,60
Series 6,44,977,368,448,184,224,326,60
Series 6,40,759,324,394,162,197,326,60
Series 5,44,977,368,448,184,224,326,60
Series 5,40,759,324,394,162,197,326,60
Series 4,44,977,368,448,184,224,326,60
Series 4,40,759,324,394,162,197,326,60
SE (3rd gen.),44,977,368,448,184,224,326,60
SE (3rd gen.),40,759,324,394,162,197,326,60
SE (2nd gen.),44,977,368,448,184,224,326,60
SE (2nd gen.),40,759,324,394,162,197,326,60
SE (1st gen.),44,977,368,448,184,224,326,60
SE (1st gen.),40,759,324,394,162,197,326,60
