model,diagonal_inches,resolution_width_px,resolution_height_px,resolution_width_pt,resolution_height_pt,ppi,max_refresh_rate
iPhone 17 Pro Max,6.9,1320,2868,440,956,460,120
iPhone 17 Pro,6.3,1206,2622,402,874,460,120
iPhone 17,6.3,1206,2622,402,874,460,120
iPhone Air,6.5,1260,2736,420,912,460,120
iPhone 16 Pro Max,6.9,1320,2868,440,956,460,120
iPhone 16 Pro,6.3,1206,2622,402,874,460,120
iPhone 16 Plus,6.7,1290,2796,430,932,460,60
iPhone 16,6.1,1179,2556,393,852,460,60
iPhone 16e,6.1,1170,2532,390,844,460,60
iPhone 15 Pro Max,6.7,1290,2796,430,932,460,120
iPhone 15 Pro,6.1,1179,2556,393,852,460,120
iPhone 15 Plus,6.7,1290,2796,430,932,460,60
iPhone 15,6.1,1179,2556,393,852,460,60
iPhone 14 Pro Max,6.7,1290,2796,430,932,460,120
iPhone 14 Pro,6.1,1179,2556,393,852,460,120
iPhone 14 Plus,6.7,1284,2778,428,926,458,60
iPhone 14,6.1,1170,2532,390,844,460,60
iPhone 13 Pro Max,6.7,1284,2778,428,926,458,120
iPhone 13 Pro,6.1,1170,2532,390,844,460,120
iPhone 13,6.1,1170,2532,390,844,460,60
iPhone 12 Pro Max,6.7,1284,2778,428,926,458,60
iPhone 12 Pro,6.1,1170,2532,390,844,460,60
iPhone 12,6.1,1170,2532,390,844,460,60
iPhone 11 Pro Max,6.5,1242,2688,414,898,458,60
iPhone 11 Pro,5.8,1125,2436,375,812,458,60
iPhone 11,6.1,828,1792,414,898,326,60
iPhone XS Max,6.5,1242,2688,414,898,458,60
iPhone XS,5.8,1125,2436,375,812,458,60
iPhone X,5.8,1125,2436,375,812,458,60
iPhone XR,6.1,828,1792,414,896,326,60
