model,diagonal_inches,resolution_width_px,resolution_height_px,ppi,max_refresh_rate
Pixel 10 Pro XL,6.8,1344,2992,486,120
Pixel 10 Pro,6.3,1280,2856,495,120
Pixel 10,6.3,1080,2424,422,120
Pixel 9a,6.3,1080,2424,422,120
Pixel 9 Pro XL,6.8,1344,2992,486,120
Pixel 9 Pro,6.3,1280,2856,495,120
Pixel 9,6.3,1080,2424,422,120
Pixel 8a,6.1,1080,2400,430,120
Pixel 8 Pro,6.7,1344,2992,489,120
Pixel 8,6.2,1080,2400,428,120
Pixel 7a,6.1,1080,2400,429,90
Pixel 7 Pro,6.7,1440,3120,512,120
Pixel 7,6.3,1080,2400,416,90
Pixel 6a,6.1,1080,2400,429,60
Pixel 6 Pro,6.7,1440,3120,512,120
Pixel 6,6.4,1080,2400,411,90
